,Unnamed: 0,cid,ring,image_saved_as
93,93,90779191,0,palmitic_acid_90779191
94,94,90474155,0,palmitic_acid_90474155
95,95,88924420,0,palmitic_acid_88924420
96,96,88542337,0,palmitic_acid_88542337
97,97,87769685,0,palmitic_acid_87769685
98,98,87757311,0,palmitic_acid_87757311
99,99,87329235,0,palmitic_acid_87329235
100,100,72715982,0,palmitic_acid_72715982
101,101,71309479,0,palmitic_acid_71309479
102,102,71309172,0,palmitic_acid_71309172
103,103,71309163,0,palmitic_acid_71309163
104,104,71309010,0,palmitic_acid_71309010
105,105,71308814,0,palmitic_acid_71308814
106,106,46891888,0,palmitic_acid_46891888
107,107,12358543,0,palmitic_acid_12358543
108,108,450627,0,palmitic_acid_450627
109,109,450628,0,palmitic_acid_450628
110,110,450634,0,palmitic_acid_450634
111,111,450635,0,palmitic_acid_450635
112,112,450636,0,palmitic_acid_450636
113,113,450637,0,palmitic_acid_450637
114,114,3774129,0,palmitic_acid_3774129
115,115,9838881,0,palmitic_acid_9838881
116,116,10778486,0,palmitic_acid_10778486
117,117,10858230,0,palmitic_acid_10858230
118,118,10967602,0,palmitic_acid_10967602
119,119,11065086,0,palmitic_acid_11065086
120,120,11161537,0,palmitic_acid_11161537
121,121,11288470,0,palmitic_acid_11288470
122,122,11379987,0,palmitic_acid_11379987
123,123,11551870,0,palmitic_acid_11551870
124,124,12049258,0,palmitic_acid_12049258
125,125,12254363,0,palmitic_acid_12254363
126,126,12311211,0,palmitic_acid_12311211
127,127,12358527,0,palmitic_acid_12358527
128,128,12358531,0,palmitic_acid_12358531
129,129,12358542,0,palmitic_acid_12358542
130,130,16079352,0,palmitic_acid_16079352
131,131,16105970,0,palmitic_acid_16105970
132,132,16105992,0,palmitic_acid_16105992
133,133,25240031,0,palmitic_acid_25240031
134,134,25240194,0,palmitic_acid_25240194
135,135,25240456,0,palmitic_acid_25240456
136,136,25240480,0,palmitic_acid_25240480
137,137,25240600,0,palmitic_acid_25240600
138,138,25241142,0,palmitic_acid_25241142
139,139,45052086,0,palmitic_acid_45052086
140,140,45934053,0,palmitic_acid_45934053
141,141,45934080,0,palmitic_acid_45934080
142,142,57387008,0,palmitic_acid_57387008
143,143,57453455,0,palmitic_acid_57453455
144,144,71308850,0,palmitic_acid_71308850
145,145,71309044,0,palmitic_acid_71309044
146,146,71309787,0,palmitic_acid_71309787
147,147,71479987,0,palmitic_acid_71479987
148,148,76974673,0,palmitic_acid_76974673
149,149,76974674,0,palmitic_acid_76974674
150,150,87195859,0,palmitic_acid_87195859
151,151,87328819,0,palmitic_acid_87328819
152,152,87329158,0,palmitic_acid_87329158
153,153,87329231,0,palmitic_acid_87329231
154,154,88243506,0,palmitic_acid_88243506
155,155,90472217,0,palmitic_acid_90472217
156,156,90474170,0,palmitic_acid_90474170
157,157,90475915,0,palmitic_acid_90475915
158,158,90475916,0,palmitic_acid_90475916
159,159,90476706,0,palmitic_acid_90476706
160,160,90477412,0,palmitic_acid_90477412
161,161,101029267,0,palmitic_acid_101029267
162,162,101029268,0,palmitic_acid_101029268
163,163,101029269,0,palmitic_acid_101029269
164,164,101029270,0,palmitic_acid_101029270
165,165,101927485,0,palmitic_acid_101927485
166,166,102352988,0,palmitic_acid_102352988
167,167,102601131,0,palmitic_acid_102601131
168,168,102602327,0,palmitic_acid_102602327
169,169,117064388,0,palmitic_acid_117064388
170,170,118855852,0,palmitic_acid_118855852
171,171,119080625,0,palmitic_acid_119080625
172,172,124137281,0,palmitic_acid_124137281
173,173,124202735,0,palmitic_acid_124202735
174,174,131701154,0,palmitic_acid_131701154
175,175,131701169,0,palmitic_acid_131701169
176,176,131701216,0,palmitic_acid_131701216
177,177,131868721,0,palmitic_acid_131868721
178,178,131869235,0,palmitic_acid_131869235
179,179,131869236,0,palmitic_acid_131869236
180,180,131869323,0,palmitic_acid_131869323
181,181,131869358,0,palmitic_acid_131869358
182,182,131869398,0,palmitic_acid_131869398
183,183,131869416,0,palmitic_acid_131869416
