,cid,ring,AKA,COO,image_saved_as
87,87110810,1,1,1,hexanoic_acid_87110810
88,87103875,1,1,1,hexanoic_acid_87103875
89,87102724,1,1,1,hexanoic_acid_87102724
90,87101358,1,1,1,hexanoic_acid_87101358
91,87086123,1,1,1,hexanoic_acid_87086123
92,87069785,1,1,1,hexanoic_acid_87069785
93,87067015,1,1,1,hexanoic_acid_87067015
94,87066922,1,1,1,hexanoic_acid_87066922
95,87066889,1,1,1,hexanoic_acid_87066889
96,87066815,1,1,1,hexanoic_acid_87066815
97,86663710,1,1,1,hexanoic_acid_86663710
98,59859244,1,1,1,hexanoic_acid_59859244
99,59170945,1,1,1,hexanoic_acid_59170945
100,59170817,1,1,1,hexanoic_acid_59170817
101,58618344,1,1,1,hexanoic_acid_58618344
102,58451455,1,1,1,hexanoic_acid_58451455
103,58351270,1,1,1,hexanoic_acid_58351270
104,58351269,1,1,1,hexanoic_acid_58351269
105,57920875,1,1,1,hexanoic_acid_57920875
106,57814920,1,1,1,hexanoic_acid_57814920
107,57673803,1,1,1,hexanoic_acid_57673803
108,57641688,1,1,1,hexanoic_acid_57641688
109,57483619,1,1,1,hexanoic_acid_57483619
110,57480892,1,1,1,hexanoic_acid_57480892
111,56845925,1,1,1,hexanoic_acid_56845925
112,56613148,1,1,1,hexanoic_acid_56613148
113,24189181,1,1,1,hexanoic_acid_24189181
114,23616664,1,1,1,hexanoic_acid_23616664
115,22447097,1,1,1,hexanoic_acid_22447097
116,22056987,1,1,1,hexanoic_acid_22056987
117,18000330,1,1,1,hexanoic_acid_18000330
118,13781817,1,1,1,hexanoic_acid_13781817
119,12249103,1,1,1,hexanoic_acid_12249103
120,12249101,1,1,1,hexanoic_acid_12249101
121,12249100,1,1,1,hexanoic_acid_12249100
122,12249092,1,1,1,hexanoic_acid_12249092
123,5360503,1,1,1,hexanoic_acid_5360503
124,5360333,1,1,1,hexanoic_acid_5360333
125,129882720,1,1,1,hexanoic_acid_129882720
126,129847364,1,1,1,hexanoic_acid_129847364
127,129846979,1,1,1,hexanoic_acid_129846979
128,129817702,1,1,1,hexanoic_acid_129817702
129,129722210,1,1,1,hexanoic_acid_129722210
130,129692433,1,1,1,hexanoic_acid_129692433
131,129641174,1,1,1,hexanoic_acid_129641174
132,129632763,1,1,1,hexanoic_acid_129632763
133,123859200,1,1,1,hexanoic_acid_123859200
134,123724855,1,1,1,hexanoic_acid_123724855
135,90773860,1,1,1,hexanoic_acid_90773860
136,88829758,1,1,1,hexanoic_acid_88829758
137,88569506,1,1,1,hexanoic_acid_88569506
138,87755535,1,1,1,hexanoic_acid_87755535
139,87190509,1,1,1,hexanoic_acid_87190509
140,87151854,1,1,1,hexanoic_acid_87151854
141,85862728,1,1,1,hexanoic_acid_85862728
142,54611870,1,1,1,hexanoic_acid_54611870
143,54599288,1,1,1,hexanoic_acid_54599288
144,24189339,1,1,1,hexanoic_acid_24189339
145,23682960,1,1,1,hexanoic_acid_23682960
146,12500781,1,1,1,hexanoic_acid_12500781
147,12249093,1,1,1,hexanoic_acid_12249093
148,12222843,1,1,1,hexanoic_acid_12222843
149,12209295,1,1,1,hexanoic_acid_12209295
150,450623,1,1,1,hexanoic_acid_450623
151,450630,1,1,1,hexanoic_acid_450630
152,450631,1,1,1,hexanoic_acid_450631
153,3084306,1,1,1,hexanoic_acid_3084306
154,3726394,1,1,1,hexanoic_acid_3726394
155,10374573,1,1,1,hexanoic_acid_10374573
156,10419159,1,1,1,hexanoic_acid_10419159
157,10534660,1,1,1,hexanoic_acid_10534660
158,11073457,1,1,1,hexanoic_acid_11073457
159,11297939,1,1,1,hexanoic_acid_11297939
160,12209291,1,1,1,hexanoic_acid_12209291
161,12222596,1,1,1,hexanoic_acid_12222596
162,12222597,1,1,1,hexanoic_acid_12222597
163,12222598,1,1,1,hexanoic_acid_12222598
164,12222606,1,1,1,hexanoic_acid_12222606
165,12222844,1,1,1,hexanoic_acid_12222844
166,12249102,1,1,1,hexanoic_acid_12249102
167,12249105,1,1,1,hexanoic_acid_12249105
168,16211997,1,1,1,hexanoic_acid_16211997
169,20141848,1,1,1,hexanoic_acid_20141848
170,21272464,1,1,1,hexanoic_acid_21272464
171,25240183,1,1,1,hexanoic_acid_25240183
172,42619525,1,1,1,hexanoic_acid_42619525
173,57419308,1,1,1,hexanoic_acid_57419308
174,60208945,1,1,1,hexanoic_acid_60208945
175,87073195,1,1,1,hexanoic_acid_87073195
176,87077765,1,1,1,hexanoic_acid_87077765
177,87083398,1,1,1,hexanoic_acid_87083398
178,87090611,1,1,1,hexanoic_acid_87090611
179,87090654,1,1,1,hexanoic_acid_87090654
180,87093515,1,1,1,hexanoic_acid_87093515
181,87124049,1,1,1,hexanoic_acid_87124049
182,87128948,1,1,1,hexanoic_acid_87128948
183,87128981,1,1,1,hexanoic_acid_87128981
184,87156977,1,1,1,hexanoic_acid_87156977
185,87166408,1,1,1,hexanoic_acid_87166408
186,87204256,1,1,1,hexanoic_acid_87204256
187,87210959,1,1,1,hexanoic_acid_87210959
188,87211197,1,1,1,hexanoic_acid_87211197
189,87211963,1,1,1,hexanoic_acid_87211963
190,87227448,1,1,1,hexanoic_acid_87227448
191,87250088,1,1,1,hexanoic_acid_87250088
192,87272038,1,1,1,hexanoic_acid_87272038
193,87314359,1,1,1,hexanoic_acid_87314359
194,87359760,1,1,1,hexanoic_acid_87359760
195,87386152,1,1,1,hexanoic_acid_87386152
196,87399526,1,1,1,hexanoic_acid_87399526
197,87403107,1,1,1,hexanoic_acid_87403107
198,87407667,1,1,1,hexanoic_acid_87407667
199,87407996,1,1,1,hexanoic_acid_87407996
200,87486158,1,1,1,hexanoic_acid_87486158
201,87489509,1,1,1,hexanoic_acid_87489509
202,87513407,1,1,1,hexanoic_acid_87513407
203,87558164,1,1,1,hexanoic_acid_87558164
204,87558344,1,1,1,hexanoic_acid_87558344
205,87558903,1,1,1,hexanoic_acid_87558903
206,87559171,1,1,1,hexanoic_acid_87559171
207,87659136,1,1,1,hexanoic_acid_87659136
208,87663174,1,1,1,hexanoic_acid_87663174
209,87693982,1,1,1,hexanoic_acid_87693982
210,87860715,1,1,1,hexanoic_acid_87860715
211,87961271,1,1,1,hexanoic_acid_87961271
212,87973875,1,1,1,hexanoic_acid_87973875
213,87992273,1,1,1,hexanoic_acid_87992273
214,88005354,1,1,1,hexanoic_acid_88005354
215,88038366,1,1,1,hexanoic_acid_88038366
216,88060664,1,1,1,hexanoic_acid_88060664
217,88062498,1,1,1,hexanoic_acid_88062498
218,88062679,1,1,1,hexanoic_acid_88062679
219,88078538,1,1,1,hexanoic_acid_88078538
220,88079123,1,1,1,hexanoic_acid_88079123
221,88102528,1,1,1,hexanoic_acid_88102528
222,88263601,1,1,1,hexanoic_acid_88263601
223,88279939,1,1,1,hexanoic_acid_88279939
224,88309363,1,1,1,hexanoic_acid_88309363
225,88323798,1,1,1,hexanoic_acid_88323798
226,88329942,1,1,1,hexanoic_acid_88329942
227,88330140,1,1,1,hexanoic_acid_88330140
228,88359561,1,1,1,hexanoic_acid_88359561
229,88387530,1,1,1,hexanoic_acid_88387530
230,88388797,1,1,1,hexanoic_acid_88388797
231,88418057,1,1,1,hexanoic_acid_88418057
232,88424968,1,1,1,hexanoic_acid_88424968
233,88425078,1,1,1,hexanoic_acid_88425078
234,88473259,1,1,1,hexanoic_acid_88473259
235,88525946,1,1,1,hexanoic_acid_88525946
236,88620170,1,1,1,hexanoic_acid_88620170
237,88641231,1,1,1,hexanoic_acid_88641231
238,88642561,1,1,1,hexanoic_acid_88642561
239,88696262,1,1,1,hexanoic_acid_88696262
240,88714987,1,1,1,hexanoic_acid_88714987
241,88793574,1,1,1,hexanoic_acid_88793574
242,88833734,1,1,1,hexanoic_acid_88833734
243,88837165,1,1,1,hexanoic_acid_88837165
244,88839029,1,1,1,hexanoic_acid_88839029
245,89044226,1,1,1,hexanoic_acid_89044226
246,89283872,1,1,1,hexanoic_acid_89283872
247,89368666,1,1,1,hexanoic_acid_89368666
248,89979607,1,1,1,hexanoic_acid_89979607
249,90472188,1,1,1,hexanoic_acid_90472188
250,90472528,1,1,1,hexanoic_acid_90472528
251,92038098,1,1,1,hexanoic_acid_92038098
252,101205460,1,1,1,hexanoic_acid_101205460
253,101279228,1,1,1,hexanoic_acid_101279228
254,101475100,1,1,1,hexanoic_acid_101475100
255,101666386,1,1,1,hexanoic_acid_101666386
256,101855237,1,1,1,hexanoic_acid_101855237
257,101963258,1,1,1,hexanoic_acid_101963258
258,102124991,1,1,1,hexanoic_acid_102124991
259,102482776,1,1,1,hexanoic_acid_102482776
260,102523482,1,1,1,hexanoic_acid_102523482
261,119076923,1,1,1,hexanoic_acid_119076923
262,124089884,1,1,1,hexanoic_acid_124089884
263,124203163,1,1,1,hexanoic_acid_124203163
264,131701166,1,1,1,hexanoic_acid_131701166
265,131701208,1,1,1,hexanoic_acid_131701208
266,131865240,1,1,1,hexanoic_acid_131865240
267,131869250,1,1,1,hexanoic_acid_131869250
268,131869329,1,1,1,hexanoic_acid_131869329
269,131869366,1,1,1,hexanoic_acid_131869366
270,131878087,1,1,1,hexanoic_acid_131878087
271,135993269,1,1,1,hexanoic_acid_135993269
