,cid,ring,BNZ,COC,image_saved_as
93,53434632,1,1,1,4_bromo_2_methylanisole_53434632
94,55219652,1,1,1,4_bromo_2_methylanisole_55219652
95,57426971,1,1,1,4_bromo_2_methylanisole_57426971
96,57453855,1,1,1,4_bromo_2_methylanisole_57453855
97,60772293,1,1,1,4_bromo_2_methylanisole_60772293
98,60773114,1,1,1,4_bromo_2_methylanisole_60773114
99,61084896,1,1,1,4_bromo_2_methylanisole_61084896
100,61085080,1,1,1,4_bromo_2_methylanisole_61085080
101,61531600,1,1,1,4_bromo_2_methylanisole_61531600
102,61531637,1,1,1,4_bromo_2_methylanisole_61531637
103,61531889,1,1,1,4_bromo_2_methylanisole_61531889
104,61534709,1,1,1,4_bromo_2_methylanisole_61534709
105,62276542,1,1,1,4_bromo_2_methylanisole_62276542
106,63216674,1,1,1,4_bromo_2_methylanisole_63216674
107,63216721,1,1,1,4_bromo_2_methylanisole_63216721
108,63435484,1,1,1,4_bromo_2_methylanisole_63435484
109,63435529,1,1,1,4_bromo_2_methylanisole_63435529
110,63435621,1,1,1,4_bromo_2_methylanisole_63435621
111,63435625,1,1,1,4_bromo_2_methylanisole_63435625
112,63435666,1,1,1,4_bromo_2_methylanisole_63435666
113,63470653,1,1,1,4_bromo_2_methylanisole_63470653
114,63470832,1,1,1,4_bromo_2_methylanisole_63470832
115,63472191,1,1,1,4_bromo_2_methylanisole_63472191
116,63529950,1,1,1,4_bromo_2_methylanisole_63529950
117,63529956,1,1,1,4_bromo_2_methylanisole_63529956
118,63702510,1,1,1,4_bromo_2_methylanisole_63702510
119,63705230,1,1,1,4_bromo_2_methylanisole_63705230
120,63705377,1,1,1,4_bromo_2_methylanisole_63705377
121,64315156,1,1,1,4_bromo_2_methylanisole_64315156
122,64315157,1,1,1,4_bromo_2_methylanisole_64315157
123,64506899,1,1,1,4_bromo_2_methylanisole_64506899
124,64508754,1,1,1,4_bromo_2_methylanisole_64508754
125,64509370,1,1,1,4_bromo_2_methylanisole_64509370
126,64509853,1,1,1,4_bromo_2_methylanisole_64509853
127,64786612,1,1,1,4_bromo_2_methylanisole_64786612
128,66043795,1,1,1,4_bromo_2_methylanisole_66043795
129,66050708,1,1,1,4_bromo_2_methylanisole_66050708
130,66366771,1,1,1,4_bromo_2_methylanisole_66366771
131,76938122,1,1,1,4_bromo_2_methylanisole_76938122
132,79322115,1,1,1,4_bromo_2_methylanisole_79322115
133,79322161,1,1,1,4_bromo_2_methylanisole_79322161
134,79323299,1,1,1,4_bromo_2_methylanisole_79323299
135,79323542,1,1,1,4_bromo_2_methylanisole_79323542
136,79324331,1,1,1,4_bromo_2_methylanisole_79324331
137,79452925,1,1,1,4_bromo_2_methylanisole_79452925
138,79593336,1,1,1,4_bromo_2_methylanisole_79593336
139,79604121,1,1,1,4_bromo_2_methylanisole_79604121
140,83933766,1,1,1,4_bromo_2_methylanisole_83933766
141,83933783,1,1,1,4_bromo_2_methylanisole_83933783
142,83933784,1,1,1,4_bromo_2_methylanisole_83933784
143,83933788,1,1,1,4_bromo_2_methylanisole_83933788
144,83933792,1,1,1,4_bromo_2_methylanisole_83933792
145,83933796,1,1,1,4_bromo_2_methylanisole_83933796
146,83933797,1,1,1,4_bromo_2_methylanisole_83933797
147,83933798,1,1,1,4_bromo_2_methylanisole_83933798
148,83933799,1,1,1,4_bromo_2_methylanisole_83933799
149,83933800,1,1,1,4_bromo_2_methylanisole_83933800
150,83933801,1,1,1,4_bromo_2_methylanisole_83933801
151,83933802,1,1,1,4_bromo_2_methylanisole_83933802
152,83933803,1,1,1,4_bromo_2_methylanisole_83933803
153,83933804,1,1,1,4_bromo_2_methylanisole_83933804
154,83933805,1,1,1,4_bromo_2_methylanisole_83933805
155,84684273,1,1,1,4_bromo_2_methylanisole_84684273
156,84696354,1,1,1,4_bromo_2_methylanisole_84696354
157,84706055,1,1,1,4_bromo_2_methylanisole_84706055
158,84707342,1,1,1,4_bromo_2_methylanisole_84707342
159,86067339,1,1,1,4_bromo_2_methylanisole_86067339
160,89324784,1,1,1,4_bromo_2_methylanisole_89324784
161,95474822,1,1,1,4_bromo_2_methylanisole_95474822
162,101144136,1,1,1,4_bromo_2_methylanisole_101144136
163,107007296,1,1,1,4_bromo_2_methylanisole_107007296
164,114472663,1,1,1,4_bromo_2_methylanisole_114472663
165,114753542,1,1,1,4_bromo_2_methylanisole_114753542
166,115401734,1,1,1,4_bromo_2_methylanisole_115401734
167,116841244,1,1,1,4_bromo_2_methylanisole_116841244
168,116932131,1,1,1,4_bromo_2_methylanisole_116932131
169,121220105,1,1,1,4_bromo_2_methylanisole_121220105
170,124251573,1,1,1,4_bromo_2_methylanisole_124251573
171,130532055,1,1,1,4_bromo_2_methylanisole_130532055
172,130538898,1,1,1,4_bromo_2_methylanisole_130538898
173,130539328,1,1,1,4_bromo_2_methylanisole_130539328
174,130539570,1,1,1,4_bromo_2_methylanisole_130539570
175,130651798,1,1,1,4_bromo_2_methylanisole_130651798
176,130916691,1,1,1,4_bromo_2_methylanisole_130916691
177,131516075,1,1,1,4_bromo_2_methylanisole_131516075
178,133623469,1,1,1,4_bromo_2_methylanisole_133623469
179,133669165,1,1,1,4_bromo_2_methylanisole_133669165
